aid,dropout,dropout_gat,fp_2_dim,gat_scale,nheads,nhid
1,0.05,0.45,300,0.7,7,45
3,0.45,0.45,400,0.5,7,75
5,0.2,0.05,400,0.3,7,40
7,0.05,0,550,0.6,2,80
9,0.35,0.1,500,0.2,7,50
11,0.25,0.05,500,0.7,3,40
13,0,0.55,550,0.8,8,40
15,0.25,0.15,300,0.3,4,45
17,0.15,0.4,600,0.7,7,70
19,0.4,0.3,350,0.6,7,75
21,0.05,0.4,350,0.5,3,55
23,0.4,0.1,350,0.5,6,50
25,0.5,0.55,300,0.8,7,50
27,0.05,0.05,500,0.3,3,80
29,0.1,0.3,400,0.7,5,55
31,0.1,0.15,550,0.6,6,80
33,0.1,0.55,500,0.7,7,65
35,0.15,0.4,500,0.5,5,75
37,0.4,0.3,500,0.6,6,55
39,0.15,0,450,0.4,4,65
41,0.3,0.35,450,0.4,3,60
43,0.25,0.15,550,0.4,3,50
45,0.4,0.05,450,0.6,6,55
47,0.25,0.1,350,0.3,5,60
49,0.1,0.5,500,0.6,2,80
51,0.05,0.45,550,0.6,7,65
53,0.2,0.5,500,0.5,5,50
55,0.15,0.35,500,0.6,8,45
57,0.4,0.5,400,0.4,4,45
59,0.2,0.25,400,0.8,3,50
61,0.1,0,400,0.7,5,70
63,0.3,0.5,550,0.3,8,80
65,0.25,0.25,450,0.4,7,50
67,0.4,0.25,450,0.6,4,65
69,0.55,0.25,500,0.7,6,75
71,0.5,0.1,400,0.2,2,60
73,0.35,0.25,300,0.7,7,45
75,0.05,0,600,0.3,3,45
77,0,0.3,550,0.2,6,45
79,0.25,0.1,400,0.6,6,40
83,0.35,0.55,300,0.5,4,50
85,0.3,0.4,450,0.7,4,45
87,0.55,0.25,350,0.7,8,55
89,0.3,0.1,500,0.4,5,65
91,0.4,0.4,450,0.2,7,80
93,0.15,0.4,450,0.8,3,40
95,0.35,0.55,400,0.4,6,75
97,0.55,0.3,450,0.2,6,75
99,0.2,0.2,550,0.3,8,50
101,0.6,0.5,350,0.3,6,60
103,0.1,0.4,550,0.2,4,70
105,0,0.5,400,0.6,7,45
107,0.45,0.5,300,0.4,8,80
109,0.05,0.4,600,0.3,3,60
111,0.1,0.4,400,0.8,5,55
113,0.4,0.5,500,0.5,4,60
115,0.3,0.3,500,0.7,7,75
119,0.45,0.45,400,0.6,4,65
121,0.15,0.6,550,0.5,5,55
123,0.1,0.05,450,0.6,5,50
125,0.35,0.5,400,0.4,7,75
127,0.3,0.2,350,0.5,3,65
129,0.25,0.35,550,0.4,4,75
131,0.15,0.55,400,0.2,5,50
133,0.35,0.4,350,0.6,4,80
137,0.5,0.2,350,0.4,6,40
139,0.2,0.3,350,0.6,7,80
141,0.1,0.35,550,0.6,2,65
143,0.2,0.25,600,0.3,5,45
145,0.4,0.1,600,0.4,4,40
155,0.1,0.1,550,0.6,3,45
157,0.05,0.05,300,0.4,2,75
161,0.05,0.45,550,0.3,7,45
165,0.25,0.2,550,0.6,5,45
167,0.2,0.2,600,0.7,6,45
175,0.15,0.35,450,0.6,4,60
328,0.3,0.35,550,0.4,6,55
330,0.2,0.3,550,0.4,7,70
410,0.2,0.4,450,0.6,2,45
450,0.55,0.55,600,0.5,4,60
884,0.4,0.1,500,0.5,3,65
899,0.2,0.45,400,0.7,6,60
1030,0.15,0.1,500,0.2,3,60
1460,0.4,0.3,500,0.6,6,60
1578,0.2,0.25,550,0.2,4,60
1813,0,0.45,400,0.2,6,45
1851,0.45,0.55,350,0.3,4,70
2275,0.05,0.2,350,0.8,3,70
2313,0.05,0.05,600,0.7,7,55
2314,0.2,0.15,550,0.5,5,75
2330,0.15,0.6,350,0.5,5,55
2551,0.1,0.15,450,0.4,4,50
2732,0.4,0.15,550,0.6,2,75
463190,0.05,0.05,500,0.6,5,55
485346,0.05,0.25,500,0.2,3,70
488899,0.1,0.05,500,0.3,7,60
504332,0.05,0.15,350,0.6,6,55
504444,0.25,0.4,500,0.7,7,55
504558,0.25,0.45,450,0.7,2,75
504749,0.2,0.2,450,0.6,3,60
504834,0.05,0.5,450,0.5,7,75
504847,0.35,0.3,500,0.6,7,40
540276,0.35,0.3,550,0.6,2,60
588405,0.2,0.35,400,0.4,5,75
588850,0.3,0.35,550,0.7,8,75
588855,0,0,550,0.6,8,45
602281,0.5,0.15,600,0.7,2,50
624296,0.1,0.5,350,0.5,6,55
624297,0.45,0.35,350,0.5,6,55
624352,0.1,0.6,400,0.5,3,75
651633,0.2,0.5,500,0.5,5,75
651634,0.05,0.15,500,0.3,7,50
651635,0.5,0.45,550,0.3,7,50
651661,0.15,0,400,0.2,4,75
651741,0.4,0.4,350,0.2,4,60
651820,0.35,0.55,550,0.6,2,50
652054,0.4,0.15,400,0.5,5,65
652154,0.35,0.15,550,0.4,5,45
686971,0.15,0.35,450,0.2,4,40
