aid,No. of compounds,No. of scaffolds,scaffolds/compounds (%),mw_range,logp_range
1,580,456,78.621,138.21~1501.62,-6.647~19.25
3,540,425,78.704,138.21~1501.62,-6.647~19.25
5,573,452,78.883,138.21~1501.62,-6.647~19.25
7,555,434,78.198,138.21~1501.62,-6.647~19.25
9,538,422,78.439,138.21~1501.62,-6.647~19.25
11,115,99,86.087,138.21~1085.156,-0.547~11.613
13,550,436,79.273,138.21~1501.62,-6.647~19.25
15,556,439,78.957,138.21~1501.62,-6.647~19.25
17,102,86,84.314,138.21~1085.156,-0.547~11.613
19,571,450,78.809,138.21~1501.62,-6.647~19.25
21,560,440,78.571,138.21~1501.62,-6.647~19.25
23,555,439,79.099,138.21~1501.62,-6.647~19.25
25,545,425,77.982,138.21~1501.62,-6.647~19.25
27,134,112,83.582,138.21~1085.156,-0.547~11.613
29,521,411,78.887,138.21~1501.62,-6.647~19.25
31,573,452,78.883,138.21~1501.62,-6.647~19.25
33,573,448,78.185,138.21~1501.62,-6.647~19.25
35,561,444,79.144,138.21~1501.62,-6.647~19.25
37,572,451,78.846,138.21~1501.62,-6.647~19.25
39,566,443,78.269,138.21~1501.62,-6.647~19.25
41,482,387,80.29,146.145~1501.62,-6.647~19.25
43,479,383,79.958,146.145~1501.62,-6.647~19.25
45,571,445,77.933,138.21~1501.62,-6.647~19.25
47,582,454,78.007,138.21~1501.62,-6.647~19.25
49,548,434,79.197,138.21~1501.62,-6.647~19.25
51,124,105,84.677,138.21~1085.156,-0.547~11.613
53,584,458,78.425,138.21~1501.62,-6.647~19.25
55,533,420,78.799,138.21~1501.62,-6.647~19.25
57,120,102,85,138.21~1085.156,-0.547~11.613
59,581,455,78.313,138.21~1501.62,-6.647~19.25
61,127,108,85.039,138.21~1085.156,-0.547~11.613
63,132,110,83.333,138.21~1085.156,-0.547~11.613
65,568,444,78.169,138.21~1501.62,-6.647~19.25
67,577,455,78.856,138.21~1501.62,-6.647~19.25
69,130,109,83.846,138.21~1085.156,-0.547~11.613
71,583,458,78.559,138.21~1501.62,-6.647~19.25
73,581,454,78.141,138.21~1501.62,-6.647~19.25
75,128,108,84.375,138.21~1085.156,-0.547~11.613
77,540,427,79.074,138.21~1501.62,-6.647~17.854
79,583,459,78.731,138.21~1501.62,-6.647~19.25
83,499,401,80.361,146.145~1501.62,-6.647~19.25
85,482,386,80.083,146.145~1501.62,-6.647~19.25
87,414,334,80.676,146.145~1501.62,-6.647~19.25
89,445,358,80.449,146.145~1501.62,-6.647~19.25
91,449,363,80.846,146.145~1501.62,-6.647~19.25
93,499,399,79.96,146.145~1501.62,-6.647~19.25
95,481,386,80.249,146.145~1501.62,-6.647~19.25
97,439,356,81.093,146.145~1501.62,-6.647~19.25
99,563,440,78.153,138.21~1501.62,-6.647~19.25
101,574,452,78.746,138.21~1501.62,-6.647~19.25
103,556,437,78.597,138.21~1501.62,-6.647~19.25
105,564,440,78.014,138.21~1501.62,-6.647~19.25
107,576,452,78.472,138.21~1501.62,-6.647~19.25
109,579,455,78.584,138.21~1501.62,-6.647~19.25
111,42,39,92.857,154.253~853.918,-0.359~6.61
113,524,420,80.153,138.21~1501.62,-6.647~17.854
115,485,386,79.588,138.21~1501.62,-6.647~19.25
119,553,434,78.481,138.21~1501.62,-6.647~19.25
121,553,431,77.939,138.21~1501.62,-6.647~19.25
123,569,447,78.559,138.21~1501.62,-6.647~19.25
125,502,397,79.084,138.21~1501.62,-6.647~19.25
127,42,39,92.857,154.253~853.918,-0.359~6.61
129,524,413,78.817,138.21~1501.62,-6.647~19.25
131,567,448,79.012,138.21~1501.62,-6.647~19.25
133,517,401,77.563,138.21~1501.62,-6.647~19.25
137,551,435,78.947,138.21~1501.62,-6.647~19.25
139,555,433,78.018,138.21~1501.62,-6.647~19.25
141,535,422,78.879,138.21~1501.62,-6.647~19.25
143,570,448,78.596,138.21~1501.62,-6.647~19.25
145,578,453,78.374,138.21~1501.62,-6.647~19.25
155,513,360,70.175,84.118~1453.579,-4.247~14.757
157,513,360,70.175,84.118~1453.579,-4.247~14.757
161,513,360,70.175,84.118~1453.579,-4.247~14.757
165,513,360,70.175,84.118~1453.579,-4.247~14.757
167,513,360,70.175,84.118~1453.579,-4.247~14.757
175,511,359,70.254,84.118~1453.579,-4.247~14.757
328,124,102,82.258,84.118~853.918,-1.36~16.127
330,369,293,79.404,98.101~1245.457,-3.18~17.854
410,113,90,79.646,154.253~853.918,-1.515~8.84
450,135,102,75.556,154.253~853.918,-1.515~8.84
884,201,140,69.652,68.119~1229.323,-6.505~14.757
899,113,89,78.761,154.253~853.918,-1.515~8.84
1030,332,221,66.566,68.119~1229.323,-6.505~17.854
1460,272,183,67.279,148.205~985.127,-2.399~17.854
1578,188,128,68.085,164.204~911.136,-2.399~8.692
1813,223,153,68.61,150.221~911.136,-2.399~12.606
1851,85,71,83.529,154.253~824.972,-1.515~8.84
2275,260,213,81.923,184.191~1439.596,-5.287~7.09
2313,290,230,79.31,194.23~1439.596,-5.287~7.09
2314,244,163,66.803,136.238~963.165,-3.59~17.854
2330,256,211,82.422,184.191~1439.596,-5.287~7.09
2551,426,268,62.911,68.119~985.127,-5.225~17.854
2732,149,103,69.128,164.204~911.136,-2.399~8.692
463190,327,229,70.031,102.133~1427.544,-3.108~12.606
485346,327,229,70.031,102.133~1427.544,-3.108~12.606
488899,303,222,73.267,102.133~1427.544,-3.108~11.542
