Aid,Best seed,Average,Training set results,,,,,test set results,,,,,Validation set results,,,
,,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc
1,Seed 1,0.805979,0.999644,,,,,0.75,0.333333,0.253275,0.827586,,0.962264,,,
3,Seed 4,0.848909,0.996846,,,,,0.878419,0.666667,0.724923,0.925926,,0.94,,,
5,Seed 2,0.8085,0.94439,,,,,0.763889,0.235294,0.569727,0.913793,,0.780093,,,
7,Seed 3,0.75433,0.996998,,,,,0.894118,0,0.21114,0.892857,,0.716,,,
9,Seed 3,0.858091,0.994287,,,,,0.898551,0.8,0.827162,0.836364,,0.913333,,,
11,Seed 4,0.858796,1,,,,,0.90625,0.666667,0.501488,0.833333,,0.847511,,,
13,Seed 4,0.804099,0.999668,,,,,0.858527,0.285714,0.725834,0.836364,,0.990566,,,
15,Seed 1,0.814385,0.998861,,,,,0.826389,0.5,0.472356,0.842105,,0.9,,,
17,Seed 3,0.828889,0.993603,,,,,1,0,1,0.727273,,0.875,,,
19,Seed 4,0.858906,0.992509,,,,,0.866213,0.533333,0.489792,0.862069,,1,,,
21,Seed 3,0.851955,0.999941,,,,,0.910985,0.7,0.86996,0.875,,0.845481,,,
23,Seed 3,0.816491,0.979622,,,,,0.832151,0.444444,0.601695,0.875,,0.85119,,,
25,Seed 3,0.796549,0.966995,,,,,0.826923,0.8,0.689439,0.981818,,0.98,,,
27,Seed 0,0.924747,1,,,,,0.909091,,,,,0.863636,,,
29,Seed 1,0.812713,0.997289,,,,,0.801242,0.4,0.355173,0.849057,,0.840909,,,
31,Seed 3,0.871094,0.996807,,,,,0.879819,0.6,0.672062,0.896552,,0.996154,,,
33,Seed 4,0.928869,0.994706,,,,,0.964744,0.666667,0.674324,0.913793,,1,,,
35,Seed 1,0.889821,0.997135,,,,,0.891489,0.666667,0.764437,0.859649,,0.855792,,,
37,Seed 4,0.816352,0.998095,,,,,0.819444,0,0.401508,0.913793,,0.981481,,,
39,Seed 2,0.849677,0.968689,,,,,0.847917,0.777778,0.661477,0.913793,,1,,,
41,Seed 0,0.826809,0.964938,,,,,0.829268,0.857143,0.747747,0.938776,,0.968254,,,
43,Seed 0,0.900436,0.999766,,,,,0.903101,0.727273,0.555267,0.897959,,0.974359,,,
45,Seed 4,0.909509,0.990247,,,,,0.902778,0.5,0.547118,0.913793,,0.988462,,,
47,Seed 2,0.81319,0.999574,,,,,0.781818,0.666667,0.65629,0.932203,,0.909297,,,
49,Seed 0,0.842159,0.997283,,,,,0.861979,0.714286,0.73671,0.892857,,0.940972,,,
