aid,depth,dropout,ffn_num_layers,linked_hidden_size,num_params,auc,auc_stddev
743063,4,0.2,1,1600,5571201,0.8698208757187086,0.09029407719246693
97,5,0.05,2,2200,15142601,0.7889702068887213,0.05685501237286043
1259381,6,0.25,1,1100,2730201,0.0,nan
69,5,0.0,2,1100,3941301,0.8505050505050505,0.1383318489673681
1645860,6,0.25,1,1100,2730201,0.0,nan
624352,5,0.1,1,1700,6259401,0.7423473647768002,0.11074831585761459
743035,5,0.4,1,1400,4314801,0.9258169934640523,0.07831963718505291
95,5,0.15,1,1600,5571201,0.9297214780286011,0.049779938624607944
145,6,0.0,3,900,3495601,0.9159219502563541,0.06967705800078447
1671198,3,0.1,3,1900,14979601,0.8145798645798645,0.11637449358490017
1346799,6,0.25,1,1100,2730201,0.0,nan
1813,6,0.25,1,1100,2730201,0.0,nan
1851,6,0.3,3,500,1142001,0.7511111111111111,0.1841698089224141
651633,4,0.1,2,1100,3941301,0.7753679653679655,0.08984414374613771
105,4,0.15,2,2300,16520901,0.7822725076573637,0.04781212623054897
504332,6,0.25,1,1100,2730201,0.0,nan
1224847,6,0.25,1,1100,2730201,0.0,nan
1671190,6,0.25,1,1100,2730201,0.0,nan
89,5,0.1,1,1900,7755801,0.8747752746469051,0.0724592088880039
133,3,0.05,3,2000,16568001,0.8051937053461442,0.07269154874542799
1671201,6,0.3,1,400,432801,0.8401144688644688,0.0628951409051611
123,5,0.05,2,2200,15142601,0.8306251199280684,0.06626415509060819
15,3,0.0,3,1900,14979601,0.8559163326138348,0.026205295675636408
686979,6,0.0,1,2000,8564001,0.7805146572517895,0.0853525276950282
624297,5,0.05,2,700,1668101,0.8151129341243358,0.08032058437598946
328,3,0.3,2,2400,17959201,0.8364646464646466,0.09533363086209219
141,6,0.0,2,2000,12566001,0.8502448979591837,0.16260142575269643
504847,4,0.15,2,500,891501,0.8893501048218029,0.05012302875862683
113,6,0.05,3,2100,18236401,0.8185036315218317,0.04815808561288865
13,6,0.1,3,1900,14979601,0.8275080959108108,0.035425970493870064
1347032,6,0.25,1,1100,2730201,0.0,nan
129,4,0.2,1,1600,5571201,0.9024547803617571,0.046165616917929635
1347076,5,0.05,2,2200,15142601,0.8977847716353462,0.06269182754920888
720533,5,0.15,1,1600,5571201,0.7977435897435898,0.06933029882602355
743036,6,0.25,1,1100,2730201,0.0,nan
127,2,0.0,2,2000,12566001,0.8666666666666668,0.19436506316151
1347067,2,0.35,3,1100,5152401,0.7933333333333333,0.17178798302300166
1159524,6,0.0,3,2000,16568001,0.8587820512820514,0.10138552609411593
743075,6,0.0,3,2400,23721601,0.7852060982495765,0.08493145124416379
743194,6,0.25,1,1100,2730201,0.0,nan
39,5,0.05,2,2200,15142601,0.9041968849005324,0.02363014769657947
1259369,5,0.05,2,2200,15142601,0.771046335200747,0.14817111104102007
2275,4,0.2,1,1600,5571201,0.5818685300207039,0.24322559459349696
1347092,6,0.0,3,2100,18236401,0.7435714285714287,0.15071936348927517
1224874,5,0.25,2,800,2146401,0.8671929824561403,0.10065895538943537
1224889,6,0.25,1,1100,2730201,0.0,nan
175,3,0.05,3,1500,9426001,0.7382791110341225,0.027908506229147065
31,5,0.1,1,1700,6259401,0.8904258329975787,0.05360161585285509
651661,6,0.05,3,2100,18236401,0.9429070881226054,0.03581343331753243
83,6,0.1,3,1100,5152401,0.8281766093697337,0.053435632617899825
125,3,0.05,3,1500,9426001,0.6905452308090715,0.07279691164266641
23,3,0.2,2,1400,6276201,0.8367909109221255,0.1353941239827604
1259382,4,0.4,1,1700,6259401,0.8183333333333334,0.13072211597483524
651635,6,0.25,1,1100,2730201,0.0,nan
743042,3,0.05,3,1500,9426001,0.7673809523809523,0.05902600180652336
720532,3,0.05,3,1500,9426001,0.8016514392376461,0.07973604534629718
1347075,4,0.2,1,1600,5571201,0.7943766883839186,0.07900712136031074
63,5,0.05,2,2200,15142601,0.7203418803418804,0.14760558796654027
1159521,6,0.25,1,1100,2730201,0.0,nan
488899,6,0.25,1,1100,2730201,0.0,nan
1346987,4,0.05,3,2300,21813201,0.8464818521783977,0.05837793486193187
330,6,0.0,3,2100,18236401,0.8360071301247771,0.15820002008441028
485346,6,0.0,1,2000,8564001,0.5856161845817018,0.07016091598144085
107,6,0.05,3,2100,18236401,0.9061714497119603,0.04326843822946051
67,6,0.0,3,2400,23721601,0.8888910275369902,0.044357542745478436
2330,6,0.0,3,2400,23721601,0.7864151801071306,0.09097451655357505
2732,5,0.25,2,800,2146401,0.5884615384615385,0.21387958131835508
27,5,0.15,1,1800,6987601,0.8166161616161617,0.12512868592787402
