TerpenoidsID,Molecular Formula,Molecular Weight,Smiles
TPCN00001,C34H50O20,778.754,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC2CC3C(C(=O)OC)=COC(OC4OC(CO)C(O)C(O)C4O)C3C2C)C1CC(O)OC
TPCN00002,C44H56N2O20,932.926,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC2CC3C(C(=O)OC)=COC(OC4OC(CO)C(O)C(O)C4O)C3C2C)C1CC1NC(C(=O)O)Cc2c1[nH]c1ccccc21
TPCN00003,C25H30O11,506.504,CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)cc3)C(O)C(O)C2O)C1O
TPCN00004,C44H64O23,960.973,CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCC1C(C)C(OC(=O)CC2C(C(=O)OC)=COC(OC3OC(CO)C(O)C(O)C3O)C2=CC)CC1C(C)CO
TPCN00005,C15H20O3,248.322,CC=C(C)C(=O)OC12CC(C(=O)C=C1C)C2(C)C
TPCN00006,C17H24O10,388.369,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(CO)=CCC12
TPCN00007,C25H30O11,506.504,CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)cc3)C(O)C(O)C2O)C1O
TPCN00008,C25H33NO11,523.535,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2cc(OC)c(O)cc21
TPCN00009,C26H35NO11,537.562,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2cc(OC)c(OC)cc21
TPCN00010,C36H42O19,778.713,CC1C(OC(=O)c2cccc(OC(=O)c3cccc(OC4OC(CO)C(O)C(O)C4O)c3)c2)CC2C(C(=O)O)=COC(OC3OC(CO)C(O)C(O)C3O)C21
TPCN00011,C23H28O11,480.466,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O
TPCN00012,C22H34O13,506.501,Cc1cc(OC2OC(CO)C(O)C(O)C2O)c(C(C)C)c(O)c1OC1OC(CO)C(O)C(O)C1O
TPCN00013,C27H34N2O10,546.573,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1CC(O)C2C1NCCc2c1[nH]c1ccccc21
TPCN00014,C25H30O11,506.504,CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)cc3)C(O)C(O)C2O)C1O
TPCN00015,C26H30N2O8,498.532,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)N3CCc4c([nH]c5ccccc45)C3CC21
TPCN00016,C21H26N2O4,370.449,CC=C1CN2CCC34c5ccccc5NC23C(O)CC1C4(CO)C(=O)OC
TPCN00017,C21H24N2O4,368.433,COC(=O)C1=COC(C)C2CN3CCC4(C(=O)Nc5ccccc54)C3CC12
TPCN00018,C30H32O15,632.571,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(COC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O
TPCN00019,C22H28N2O4,384.476,COC(=O)C12CC3CC(C(C)O)C1N(CCc1c2[nH]c2ccc(OC)cc12)C3
TPCN00020,C21H26N2O4,370.449,CC=C1C[N+]2(C)CCC34c5ccccc5NC32C(O)CC1C4(CO)C(=O)[O-]
TPCN00021,C25H30O11,506.504,CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)cc3)C(O)C(O)C2O)C1O
TPCN00022,C22H28N2O3,368.477,CCC1CC2CN3CCc4c([nH]c5ccc(OC)cc45)C(C(=O)OC)(C2)C13
TPCN00023,C37H54O16,754.823,C=CC(C)(CCC=C(C)C)OC1OC(COC2OC(C)C(OC(=O)C=Cc3ccc(O)cc3)C(OC3OC(C)C(O)C(O)C3O)C2O)C(O)C(O)C1O
TPCN00024,C43H60O22,928.931,CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OC1CC(C)C2COC(=O)CC3C(=COC(OC4OC(CO)C(O)C(O)C4O)C3=CC)C(=O)OCC(C)C12
TPCN00025,C23H28O12,496.465,CC12CC3(O)OC(O1)C1(COC(=O)c4ccc(O)cc4)C3CC21OC1OC(CO)C(O)C(O)C1O
TPCN00026,C27H34O3,406.566,CC1(C)C(=O)C2=C(OC3(CCC4CC3C4(C)C)CC2c2ccccc2)C(C)(C)C1=O
TPCN00027,C21H20O6,368.385,CC(CCOc1c2ccoc2cc2oc(=O)ccc12)C1=CC(=O)C(C)(C)O1
TPCN00028,C25H30O12,522.503,CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)c(O)c3)C(O)C(O)C2O)C1O
TPCN00029,C16H24O8,344.36,Cc1cc(OC2OC(CO)C(O)C(O)C2O)c(C(C)C)c(O)c1O
TPCN00030,C26H40O12,544.594,CC(=CCC(O)C(C)=CCO)C(=O)OCC=C(C)C(O)CC=C(C)C(=O)OC1OC(CO)C(O)C(O)C1O
TPCN00031,C21H24N2O4,368.433,COC(=O)C1=COC(C)C2CN3CCC4(C(=O)Nc5ccccc54)C3CC12
TPCN00032,C37H54O16,754.823,C=CC(C)(CCC=C(C)C)OC1OC(COC2OC(C)C(OC(=O)C=Cc3ccc(O)cc3)C(OC3OC(C)C(O)C(O)C3O)C2O)C(O)C(O)C1O
TPCN00033,C20H22N2O3,338.407,CC=C1CN2C3CC45c6ccccc6NC4(O3)C2CC1C5C(=O)OC
TPCN00034,C21H26N2O2,338.451,COC(=O)C1CC23CCCN4CCC5(c6ccccc6NC15CC2)C43
TPCN00035,C25H30O12,522.503,CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)c(O)c3)C(O)C(O)C2O)C1O
TPCN00036,C30H32O12,584.574,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(COC(=O)c2ccccc2)C(O)C(O)C1O
TPCN00037,C46H54O21,942.917,CC12CC(=O)C3CC1(OC1OC(COC(=O)c4ccccc4)C(O)C(O)C1O)C3(COC(=O)c1ccccc1)C(OCC1OC(OC34CC5C6(O)CC3(C)OC(O6)C54CO)C(O)C(O)C1O)O2
